Recinto,CA,EC,EA,OR,CA-EC,EA-OR,Estilo
Paraiso,19,11,15,20,8,-5,ASIMILADOR
Paraiso,17,14,20,8,3,12,CONVERGENTE
Paraiso,24,12,12,14,12,-2,ASIMILADOR
Paraiso,18,14,13,18,4,-5,ASIMILADOR
Turrialba,10,21,18,13,-11,5,ACOMODADOR
Turrialba,9,16,20,17,-7,3,ACOMODADOR
Turrialba,20,12,18,14,8,4,CONVERGENTE
Turrialba,18,12,24,11,6,13,CONVERGENTE
Turrialba,16,15,19,14,1,5,ACOMODADOR
Turrialba,14,15,21,12,-1,9,ACOMODADOR
Turrialba,15,14,22,12,1,10,ACOMODADOR
Turrialba,15,14,18,14,1,4,ACOMODADOR
Turrialba,14,13,20,13,1,7,ACOMODADOR
Turrialba,17,15,15,14,2,1,DIVERGENTE
Turrialba,18,15,16,13,3,3,CONVERGENTE
Turrialba,17,16,9,20,1,-11,DIVERGENTE
Turrialba,17,12,20,11,5,9,CONVERGENTE
Turrialba,15,13,19,13,2,6,ACOMODADOR
Turrialba,17,17,14,13,0,1,DIVERGENTE
Turrialba,17,16,19,14,1,5,ACOMODADOR
Turrialba,14,16,18,14,-2,4,ACOMODADOR
Turrialba,24,9,12,16,15,-4,ASIMILADOR
Turrialba,14,15,18,14,-1,4,ACOMODADOR
Turrialba,17,15,15,18,2,-3,DIVERGENTE
Turrialba,21,14,18,11,7,7,CONVERGENTE
Turrialba,15,14,22,15,1,7,ACOMODADOR
Turrialba,19,14,14,15,5,-1,ASIMILADOR
Turrialba,20,15,15,12,5,3,CONVERGENTE
Turrialba,17,14,18,13,3,5,CONVERGENTE
Turrialba,14,13,20,18,1,2,DIVERGENTE
Turrialba,16,10,18,15,6,3,CONVERGENTE
Turrialba,16,16,22,12,0,10,ACOMODADOR
Turrialba,13,11,20,15,2,5,ACOMODADOR
Turrialba,15,17,19,14,-2,5,ACOMODADOR
Turrialba,18,13,19,12,5,7,CONVERGENTE
Turrialba,16,16,14,19,0,-5,DIVERGENTE
Turrialba,11,18,16,16,-7,0,DIVERGENTE
Turrialba,12,13,22,13,-1,9,ACOMODADOR
Turrialba,16,14,16,14,2,2,DIVERGENTE
Turrialba,16,16,16,11,0,5,ACOMODADOR
Turrialba,17,15,22,13,2,9,ACOMODADOR
